Name,Slug,Series,Finish,Application,Has Image,Image URL
Kettle HL 01,kettle-hl-01,Kettle,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/ebfbfd7d434f1f932b364d2dd29b85b
Kettle HL 02,kettle-hl-02,Kettle,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/b6c866bc8f4d38743285c58defe83dc
Kettle Light,kettle-light,Kettle,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/7c24dd310958acd48cfb146279a5bb8
Kyoto Dark,kyoto-dark,Kyoto,Matt,Wall,NO,
Kyoto HL,kyoto-hl,Kyoto,Matt,Wall,NO,
Kyoto Light,kyoto-light,Kyoto,Matt,Wall,NO,
Liam Dark,liam-dark,Liam,Glossy,Wall,NO,
Liam HL,liam-hl,Liam,Glossy,Wall,NO,
Liam Light,liam-light,Liam,Glossy,Wall,NO,
Ligen Dark,ligen-dark,Ligen,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/087160dbf4efea85fea476299f9f9b6
Ligen HL,ligen-hl,Ligen,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/d0f36ce398aac31b8bc419482fb8416
Ligen Light,ligen-light,Ligen,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/2eaaed39ef103b9f19a0cc16e8251f1
Light Ivory,light-ivory,Light Ivory,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/647f950ffe00c00455631e7671515f3
Mirage Dark,mirage-dark,Mirage,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/83f0cd947ec63a9607d3f436ba13dd6
Mirage HL,mirage-hl,Mirage,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/7db5e3607b4d8bc3875505b5c67c736
Mirage Light,mirage-light,Mirage,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/01937b76bdaa5cbf4d2bb0d371732fa
Mosaic Dark,mosaic-dark,Mosaic,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/7abfcc0f5f0eb6a8e5f66219a4e15a2
Mosaic HL,mosaic-hl,Mosaic,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/45e91d6fb5fb2bed01f83b22f29001c
Mosaic Light,mosaic-light,Mosaic,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/355967417431ed52e439a9155704652
Mosaic Dolphin Dark,mosaic-dolphin-dark,Mosaic Dolphin,Glossy,Wall,NO,
Mosaic Dolphin HL 01,mosaic-dolphin-hl-01,Mosaic Dolphin,Glossy,Wall,NO,
Mosaic Dolphin HL 02,mosaic-dolphin-hl-02,Mosaic Dolphin,Glossy,Wall,NO,
Mosaic Dolphin Light,mosaic-dolphin-light,Mosaic Dolphin,Glossy,Wall,NO,
Ocean Dark,ocean-dark,Ocean,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/4a6c18604286224d9e10012cbf9b93c
Ocean HL 01,ocean-hl-01,Ocean,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/f9e11260376cb2032255505152a2832
Ocean HL 02,ocean-hl-02,Ocean,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/5c22f2528fbd51f42e4df5226cc10c7
Ocean Light,ocean-light,Ocean,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/7442e4a1799a1b23c6ecc730e067100
Orson Dark,orson-dark,Orson,Glossy,Wall,NO,
Orson HL,orson-hl,Orson,Glossy,Wall,NO,
Orson Light,orson-light,Orson,Glossy,Wall,NO,
Oyster Dark,oyster-dark,Oyster,Glossy,Wall,NO,
Oyster HL,oyster-hl,Oyster,Glossy,Wall,NO,
Oyster Light,oyster-light,Oyster,Glossy,Wall,NO,
Plain White,plain-white,Plain White,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/293f0af8f66c9bca9b70fe6aff69a73
Pristine Grey Dark,pristine-grey-dark,Pristine Grey,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/e3e54cb96a92ecd6bf8adef8f89679d
Pristine Grey HL,pristine-grey-hl,Pristine Grey,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/7b93065ad2df8580f1a5a23b7595c8d
Pristine Grey Light,pristine-grey-light,Pristine Grey,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/2e3482290ec32e5e7e10e9bc3b5e8c8
Purple Dark,purple-dark,Purple,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/ee01397aeff51854f40874b657392ad
Purple HL,purple-hl,Purple,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/84effa0b8e4c53fbe64d2b2fc7406bb
Purple Light,purple-light,Purple,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/f51ef683896293e56209de051615659
Purple Mist Dark,purple-mist-dark,Purple Mist,Glossy,Wall,NO,
Purple Mist HL,purple-mist-hl,Purple Mist,Glossy,Wall,NO,
Purple Mist Light,purple-mist-light,Purple Mist,Glossy,Wall,NO,
Rachel Dark,rachel-dark,Rachel,Glossy,Wall,NO,
Rachel HL,rachel-hl,Rachel,Glossy,Wall,NO,
Rachel Light,rachel-light,Rachel,Glossy,Wall,NO,
Richmond Dark,richmond-dark,Richmond,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/dc45256cdf94aaad0885c3a3981cdae
Richmond HL 01,richmond-hl-01,Richmond,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/ad74f10bd9c8fb796109c971e9c5395
Richmond HL 02,richmond-hl-02,Richmond,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/2bc0bf38ae99185a428e5b584528f84
Richmond Light,richmond-light,Richmond,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/e64204713d5ac1446e114f1982468e5
Ritz Dark,ritz-dark,Ritz,Glossy,Wall,NO,
Ritz HL,ritz-hl,Ritz,Glossy,Wall,NO,
Ritz Light,ritz-light,Ritz,Glossy,Wall,NO,
Rocher Pink Dark,rocher-pink-dark,Rocher Pink,Glossy,Wall,NO,
Rocher Pink HL 01,rocher-pink-hl-01,Rocher Pink,Glossy,Wall,NO,
Rocher Pink HL 02,rocher-pink-hl-02,Rocher Pink,Glossy,Wall,NO,
Rocher Pink Light,rocher-pink-light,Rocher Pink,Glossy,Wall,NO,
Rover Dark,rover-dark,Rover,Glossy,Wall,NO,
Rover HL,rover-hl,Rover,Glossy,Wall,NO,
Rover Light,rover-light,Rover,Glossy,Wall,NO,
Satin White,satin-white,Satin White,Matt,Wall,NO,
Satuario,satuario,Satuario,Glossy,Wall,NO,
Savoy Dark,savoy-dark,Savoy,Glossy,Wall,NO,
Savoy HL,savoy-hl,Savoy,Glossy,Wall,NO,
Savoy Light,savoy-light,Savoy,Glossy,Wall,NO,
Shangrila Dark,shangrila-dark,Shangrila,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/8cfaf5e531c80900fa23baf9432bc38
Shangrila HL,shangrila-hl,Shangrila,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/23c2a10effaa9969c33a5bb26dece70
Shangrila Light,shangrila-light,Shangrila,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/320d729366488235a392619978af4c2
Silken Malena Dark,silken-malena-dark,Silken Malena,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/106eed9fff43261eceb76b187c5660b
Silken Malena HL 01,silken-malena-hl-01,Silken Malena,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/4b5248174a81d7956863a0ea2003869
Silken Malena HL 02,silken-malena-hl-02,Silken Malena,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/e1fc35cb56bde9bb541d85814096f40
Silken Malena Light,silken-malena-light,Silken Malena,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/f28393c363b20225e11744b4a02a3ab
Swan Dark,swan-dark,Swan,Glossy,Wall,NO,
Swan HL 01,swan-hl-01,Swan,Glossy,Wall,NO,
Swan HL 02,swan-hl-02,Swan,Glossy,Wall,NO,
Swan Light,swan-light,Swan,Glossy,Wall,NO,
Sweden Dark,sweden-dark,Sweden,Glossy,Wall,NO,
Sweden HL,sweden-hl,Sweden,Glossy,Wall,NO,
Sweden Light,sweden-light,Sweden,Glossy,Wall,NO,
Teramo Creme Dark,teramo-creme-dark,Teramo Creme,Glossy,Wall,NO,
Teramo Creme HL,teramo-creme-hl,Teramo Creme,Glossy,Wall,NO,
Teramo Creme Light,teramo-creme-light,Teramo Creme,Glossy,Wall,NO,
Teramo Creme Matt Dark,teramo-creme-matt-dark,Teramo Creme Matt,Matt,Wall,NO,
Teramo Creme Matt HL,teramo-creme-matt-hl,Teramo Creme Matt,Matt,Wall,NO,
Teramo Creme Matt Light,teramo-creme-matt-light,Teramo Creme Matt,Matt,Wall,NO,
Trevertino Dark,trevertino-dark,Trevertino,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/210ba6ff5ba308886a9dc97d5323931
Trevertino HL,trevertino-hl,Trevertino,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/19be138963e9266f6a259a7d07e812a
Trevertino Light,trevertino-light,Trevertino,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/e59e9867610a3c6984b297034772b67
Triangle Dark,triangle-dark,Triangle,Glossy,Wall,NO,
Triangle HL,triangle-hl,Triangle,Glossy,Wall,NO,
Triangle Light,triangle-light,Triangle,Glossy,Wall,NO,
Vantel Dark,vantel-dark,Vantel,Glossy,Wall,NO,
Vantel HL,vantel-hl,Vantel,Glossy,Wall,NO,
Vantel Light,vantel-light,Vantel,Glossy,Wall,NO,
Vase Dark,vase-dark,Vase,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/bfd8ecd44e3499c1d89bab994f06428
Vase HL,vase-hl,Vase,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/385fff6e17867d94b379a4d22c10e7c
Vase Light,vase-light,Vase,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/9562c6c2176afa78688627578681651
